S/N,State,Hospital Name,Disease,Total Visits,Reported Cases,Month,Year,Date
45,Oyo,"UCH - University College Hospital, Ibadan",Tuberculosis,3070,1000,June,2017,"Thursday, June 1, 2017"
46,Lagos,LUTH - Lagos University Teaching Hospital,Typhoid,22009,4251,May,2015,"Friday, May 1, 2015"
47,Enugu,UNTH - University of Nigeria Teaching Hospital,Cholera,74472,26266,December,2007,"Saturday, December 1, 2007"
48,Plateau,BUTH - Bingham University Teaching Hospital,Typhoid,62869,20454,August,2024,"Thursday, August 1, 2024"
49,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Malaria,71505,34663,March,2020,"Sunday, March 1, 2020"
50,Ogun,FMC Abeokuta - Federal Medical Centre,Typhoid,50785,21200,July,2003,"Tuesday, July 1, 2003"
51,Edo,UBTH - University of Benin Teaching Hospital,Tuberculosis,64039,20618,December,2024,"Sunday, December 1, 2024"
52,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Lassa Fever,38714,9576,January,2020,"Wednesday, January 1, 2020"
53,Imo,FMC Owerri - Federal Medical Centre,Measles,27497,1713,May,2006,"Monday, May 1, 2006"
54,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Typhoid,28816,5716,November,2003,"Saturday, November 1, 2003"
55,Abia,FMC Umuahia - Federal Medical Centre,Tuberculosis,3093,1391,June,2013,"Saturday, June 1, 2013"
56,Enugu,UNTH - University of Nigeria Teaching Hospital,Lassa Fever,76809,5442,May,2014,"Thursday, May 1, 2014"
57,Delta,DELTA FMC - Federal Medical Centre Asaba,Malaria,27637,7828,December,2005,"Thursday, December 1, 2005"
58,Delta,DELTA FMC - Federal Medical Centre Asaba,Malaria,78589,26647,December,2016,"Thursday, December 1, 2016"
59,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Tuberculosis,53159,14009,May,2000,"Monday, May 1, 2000"
60,Kogi,FMC Lokoja - Federal Medical Centre,Measles,52770,25181,July,2024,"Monday, July 1, 2024"
61,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Cholera,25401,6798,December,2003,"Monday, December 1, 2003"
62,Edo,UBTH - University of Benin Teaching Hospital,Malaria,39706,19608,March,2004,"Monday, March 1, 2004"
63,Abia,FMC Umuahia - Federal Medical Centre,Typhoid,38126,17856,September,2024,"Sunday, September 1, 2024"
64,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Tuberculosis,40413,7487,May,2023,"Monday, May 1, 2023"
65,Bayelsa,FMC Yenagoa - Federal Medical Centre,Tuberculosis,58933,1553,May,2010,"Saturday, May 1, 2010"
66,Ogun,FMC Abeokuta - Federal Medical Centre,Malaria,70771,4309,February,2001,"Thursday, February 1, 2001"
67,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Typhoid,78640,22459,November,2013,"Friday, November 1, 2013"
68,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Lassa Fever,19444,6792,January,2014,"Wednesday, January 1, 2014"
69,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Measles,17664,7221,September,2008,"Monday, September 1, 2008"
70,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Cholera,54049,17832,June,2005,"Wednesday, June 1, 2005"
71,Nasarawa,FMC Keffi - Federal Medical Centre,Cholera,34645,16240,May,2019,"Wednesday, May 1, 2019"
72,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Tuberculosis,6112,2398,August,2002,"Thursday, August 1, 2002"
73,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Lassa Fever,59283,22715,October,2021,"Friday, October 1, 2021"
74,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Typhoid,35104,5165,October,2007,"Monday, October 1, 2007"
75,Bayelsa,FMC Yenagoa - Federal Medical Centre,Lassa Fever,40530,16018,September,2024,"Sunday, September 1, 2024"
76,Imo,FMC Owerri - Federal Medical Centre,Measles,58341,8952,July,2013,"Monday, July 1, 2013"
77,Imo,FMC Owerri - Federal Medical Centre,Cholera,6746,2457,April,2024,"Monday, April 1, 2024"
78,Kogi,FMC Lokoja - Federal Medical Centre,Malaria,50143,11493,December,2007,"Saturday, December 1, 2007"
79,Bayelsa,FMC Yenagoa - Federal Medical Centre,Typhoid,6957,2098,December,2006,"Friday, December 1, 2006"
80,Delta,DELTA FMC - Federal Medical Centre Asaba,Typhoid,65253,1474,December,2016,"Thursday, December 1, 2016"
81,Plateau,JUTH - Jos University Teaching Hospital,Typhoid,43796,6732,April,2019,"Monday, April 1, 2019"
82,Nasarawa,FMC Keffi - Federal Medical Centre,Cholera,61975,7887,March,2008,"Saturday, March 1, 2008"
83,Edo,UBTH - University of Benin Teaching Hospital,Tuberculosis,28924,9416,March,2002,"Friday, March 1, 2002"
84,Ogun,FMC Abeokuta - Federal Medical Centre,Malaria,21765,3787,March,2015,"Sunday, March 1, 2015"
85,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Lassa Fever,61110,24909,February,2011,"Tuesday, February 1, 2011"
86,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Cholera,64830,6102,November,2017,"Wednesday, November 1, 2017"
87,Bayelsa,FMC Yenagoa - Federal Medical Centre,Tuberculosis,58562,15151,September,2007,"Saturday, September 1, 2007"
88,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Typhoid,15760,2389,July,2016,"Friday, July 1, 2016"
89,Nasarawa,FMC Keffi - Federal Medical Centre,Malaria,9470,4250,July,2002,"Monday, July 1, 2002"
90,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Lassa Fever,6957,440,August,2015,"Saturday, August 1, 2015"
91,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Malaria,60597,26691,August,2019,"Thursday, August 1, 2019"
92,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Cholera,53187,26074,July,2021,"Thursday, July 1, 2021"
93,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Measles,48672,13223,April,2006,"Saturday, April 1, 2006"
94,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Cholera,14997,7316,November,2002,"Friday, November 1, 2002"
95,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Malaria,9541,460,November,2000,"Wednesday, November 1, 2000"
96,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Cholera,71173,23221,May,2008,"Thursday, May 1, 2008"
97,Oyo,"UCH - University College Hospital, Ibadan",Tuberculosis,18186,5311,March,2003,"Saturday, March 1, 2003"
98,Nasarawa,FMC Keffi - Federal Medical Centre,Measles,52741,20956,October,2004,"Friday, October 1, 2004"
99,Delta,DELTA FMC - Federal Medical Centre Asaba,Lassa Fever,47025,1977,May,2013,"Wednesday, May 1, 2013"
100,Plateau,BUTH - Bingham University Teaching Hospital,Tuberculosis,24484,300,November,2006,"Wednesday, November 1, 2006"
101,Enugu,UNTH - University of Nigeria Teaching Hospital,Tuberculosis,36756,15513,April,2013,"Monday, April 1, 2013"
102,Ogun,FMC Abeokuta - Federal Medical Centre,Measles,60306,25183,April,2003,"Tuesday, April 1, 2003"
103,Enugu,UNTH - University of Nigeria Teaching Hospital,Typhoid,22322,5516,April,2004,"Thursday, April 1, 2004"
104,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Lassa Fever,62426,8444,November,2009,"Sunday, November 1, 2009"
105,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Malaria,14296,1821,April,2024,"Monday, April 1, 2024"
106,Plateau,JUTH - Jos University Teaching Hospital,Tuberculosis,34059,4306,August,2015,"Saturday, August 1, 2015"
107,Delta,DELTA FMC - Federal Medical Centre Asaba,Typhoid,57743,6098,February,2008,"Friday, February 1, 2008"
108,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Malaria,67225,730,September,2017,"Friday, September 1, 2017"
109,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Cholera,69113,28570,August,2003,"Friday, August 1, 2003"
110,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Lassa Fever,7859,560,November,2007,"Thursday, November 1, 2007"
111,Delta,DELTA FMC - Federal Medical Centre Asaba,Malaria,53498,18095,February,2023,"Wednesday, February 1, 2023"
112,Bayelsa,FMC Yenagoa - Federal Medical Centre,Cholera,47564,5175,September,2020,"Tuesday, September 1, 2020"
113,Oyo,"UCH - University College Hospital, Ibadan",Measles,77303,2330,December,2004,"Wednesday, December 1, 2004"
114,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Lassa Fever,34692,8614,June,2002,"Saturday, June 1, 2002"
115,Nasarawa,FMC Keffi - Federal Medical Centre,Cholera,72452,20095,January,2000,"Saturday, January 1, 2000"
116,Lagos,LUTH - Lagos University Teaching Hospital,Measles,43260,5522,June,2013,"Saturday, June 1, 2013"
117,Oyo,"UCH - University College Hospital, Ibadan",Cholera,23095,2903,June,2020,"Monday, June 1, 2020"
118,Plateau,BUTH - Bingham University Teaching Hospital,Tuberculosis,29197,2061,February,2011,"Tuesday, February 1, 2011"
119,Plateau,BUTH - Bingham University Teaching Hospital,Lassa Fever,40730,12482,February,2021,"Monday, February 1, 2021"
120,Abia,FMC Umuahia - Federal Medical Centre,Cholera,6580,2796,September,2007,"Saturday, September 1, 2007"
121,Imo,FMC Owerri - Federal Medical Centre,Tuberculosis,27946,10580,September,2015,"Tuesday, September 1, 2015"
122,Abia,FMC Umuahia - Federal Medical Centre,Malaria,62074,5364,June,2008,"Sunday, June 1, 2008"
123,Nasarawa,FMC Keffi - Federal Medical Centre,Malaria,77547,11093,January,2015,"Thursday, January 1, 2015"
124,Delta,DELTA FMC - Federal Medical Centre Asaba,Lassa Fever,73733,33250,June,2021,"Tuesday, June 1, 2021"
125,Edo,UBTH - University of Benin Teaching Hospital,Typhoid,70620,22038,November,2000,"Wednesday, November 1, 2000"
126,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Measles,17927,2108,July,2019,"Monday, July 1, 2019"
127,Plateau,BUTH - Bingham University Teaching Hospital,Lassa Fever,42571,17480,February,2014,"Saturday, February 1, 2014"
128,Kogi,FMC Lokoja - Federal Medical Centre,Malaria,41675,20164,November,2022,"Tuesday, November 1, 2022"
129,Abia,FMC Umuahia - Federal Medical Centre,Malaria,59149,22681,July,2013,"Monday, July 1, 2013"
130,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Lassa Fever,5669,2660,July,2002,"Monday, July 1, 2002"
131,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Typhoid,19808,3112,July,2004,"Thursday, July 1, 2004"
132,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Measles,20812,7295,June,2013,"Saturday, June 1, 2013"
133,Lagos,LUTH - Lagos University Teaching Hospital,Typhoid,20087,8051,October,2020,"Thursday, October 1, 2020"
134,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Tuberculosis,73971,25619,April,2003,"Tuesday, April 1, 2003"
135,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Cholera,75072,23809,September,2019,"Sunday, September 1, 2019"
136,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Lassa Fever,34577,5509,October,2018,"Monday, October 1, 2018"
137,Edo,UBTH - University of Benin Teaching Hospital,Typhoid,70935,29312,March,2003,"Saturday, March 1, 2003"
138,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Measles,23232,1508,August,2011,"Monday, August 1, 2011"
139,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Measles,17952,485,November,2007,"Thursday, November 1, 2007"
140,Bayelsa,FMC Yenagoa - Federal Medical Centre,Malaria,18152,540,December,2013,"Sunday, December 1, 2013"
141,Lagos,LASUTH - Lagos State University Teaching Hospital,Tuberculosis,61374,11729,April,2007,"Sunday, April 1, 2007"
142,Nasarawa,FMC Keffi - Federal Medical Centre,Malaria,13476,4103,September,2004,"Wednesday, September 1, 2004"
143,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Typhoid,4536,768,August,2011,"Monday, August 1, 2011"
144,Imo,FMC Owerri - Federal Medical Centre,Cholera,52089,22496,April,2011,"Friday, April 1, 2011"
145,Oyo,"UCH - University College Hospital, Ibadan",Cholera,31638,1234,April,2023,"Saturday, April 1, 2023"
146,Abia,FMC Umuahia - Federal Medical Centre,Cholera,25493,3933,June,2014,"Sunday, June 1, 2014"
147,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Typhoid,57034,16678,November,2019,"Friday, November 1, 2019"
148,Plateau,JUTH - Jos University Teaching Hospital,Tuberculosis,53022,10734,January,2022,"Saturday, January 1, 2022"
149,Lagos,LUTH - Lagos University Teaching Hospital,Measles,23607,2770,January,2009,"Thursday, January 1, 2009"
150,Abia,FMC Umuahia - Federal Medical Centre,Measles,54546,20496,June,2014,"Sunday, June 1, 2014"
151,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Malaria,4879,1359,July,2003,"Tuesday, July 1, 2003"
152,Lagos,LASUTH - Lagos State University Teaching Hospital,Tuberculosis,66071,27669,January,2016,"Friday, January 1, 2016"
153,Oyo,"UCH - University College Hospital, Ibadan",Cholera,17053,741,February,2019,"Friday, February 1, 2019"
154,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Tuberculosis,48002,2158,August,2012,"Wednesday, August 1, 2012"
155,Kogi,FMC Lokoja - Federal Medical Centre,Malaria,1424,623,March,2009,"Sunday, March 1, 2009"
156,Oyo,"UCH - University College Hospital, Ibadan",Malaria,25313,2813,June,2022,"Wednesday, June 1, 2022"
157,Oyo,"UCH - University College Hospital, Ibadan",Malaria,54826,944,August,2020,"Saturday, August 1, 2020"
158,Edo,UBTH - University of Benin Teaching Hospital,Lassa Fever,3239,1265,October,2012,"Monday, October 1, 2012"
159,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Malaria,71977,6891,November,2006,"Wednesday, November 1, 2006"
160,Nasarawa,FMC Keffi - Federal Medical Centre,Typhoid,44063,22021,November,2005,"Tuesday, November 1, 2005"
161,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Malaria,71898,6757,March,2012,"Thursday, March 1, 2012"
162,Edo,UBTH - University of Benin Teaching Hospital,Measles,75502,32274,April,2005,"Friday, April 1, 2005"
163,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Malaria,32701,6600,March,2002,"Friday, March 1, 2002"
164,Nasarawa,FMC Keffi - Federal Medical Centre,Malaria,1514,683,October,2001,"Monday, October 1, 2001"
165,Plateau,JUTH - Jos University Teaching Hospital,Typhoid,42195,2224,February,2015,"Sunday, February 1, 2015"
166,Ogun,FMC Abeokuta - Federal Medical Centre,Malaria,22239,5494,October,2019,"Tuesday, October 1, 2019"
167,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Lassa Fever,61097,26342,September,2023,"Friday, September 1, 2023"
168,Edo,UBTH - University of Benin Teaching Hospital,Typhoid,9044,3857,September,2024,"Sunday, September 1, 2024"
169,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Malaria,51817,24740,February,2008,"Friday, February 1, 2008"
170,Enugu,UNTH - University of Nigeria Teaching Hospital,Measles,72914,14084,September,2012,"Saturday, September 1, 2012"
171,Kogi,FMC Lokoja - Federal Medical Centre,Tuberculosis,31804,13400,November,2017,"Wednesday, November 1, 2017"
172,Bayelsa,FMC Yenagoa - Federal Medical Centre,Cholera,32623,3983,August,2000,"Tuesday, August 1, 2000"
173,Delta,DELTA FMC - Federal Medical Centre Asaba,Tuberculosis,66521,8494,February,2000,"Tuesday, February 1, 2000"
174,Oyo,"UCH - University College Hospital, Ibadan",Typhoid,8901,1508,August,2008,"Friday, August 1, 2008"
175,Enugu,UNTH - University of Nigeria Teaching Hospital,Tuberculosis,36468,6010,November,2018,"Thursday, November 1, 2018"
176,Enugu,UNTH - University of Nigeria Teaching Hospital,Measles,75597,36177,September,2022,"Thursday, September 1, 2022"
177,Nasarawa,FMC Keffi - Federal Medical Centre,Typhoid,58215,6223,April,2022,"Friday, April 1, 2022"
178,Kogi,FMC Lokoja - Federal Medical Centre,Measles,67427,11758,August,2024,"Thursday, August 1, 2024"
179,Imo,FMC Owerri - Federal Medical Centre,Lassa Fever,31635,2749,May,2006,"Monday, May 1, 2006"
180,Lagos,LUTH - Lagos University Teaching Hospital,Tuberculosis,76361,19992,November,2014,"Saturday, November 1, 2014"
181,Plateau,JUTH - Jos University Teaching Hospital,Typhoid,13290,822,August,2007,"Wednesday, August 1, 2007"
182,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Typhoid,76265,15155,August,2017,"Tuesday, August 1, 2017"
183,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Tuberculosis,14918,6510,April,2006,"Saturday, April 1, 2006"
184,Kogi,FMC Lokoja - Federal Medical Centre,Measles,32339,4488,February,2008,"Friday, February 1, 2008"
185,Lagos,LUTH - Lagos University Teaching Hospital,Cholera,2248,273,February,2009,"Sunday, February 1, 2009"
186,Kogi,FMC Lokoja - Federal Medical Centre,Typhoid,16671,6156,September,2020,"Tuesday, September 1, 2020"
187,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Cholera,75912,25236,April,2016,"Friday, April 1, 2016"
188,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Malaria,30957,7681,June,2006,"Thursday, June 1, 2006"
189,Abia,FMC Umuahia - Federal Medical Centre,Typhoid,13727,5188,June,2017,"Thursday, June 1, 2017"
190,Ogun,FMC Abeokuta - Federal Medical Centre,Typhoid,51095,4740,November,2007,"Thursday, November 1, 2007"
191,Imo,FMC Owerri - Federal Medical Centre,Tuberculosis,75685,36676,February,2020,"Saturday, February 1, 2020"
192,Nasarawa,FMC Keffi - Federal Medical Centre,Measles,41293,6029,May,2000,"Monday, May 1, 2000"
193,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Typhoid,65982,3918,January,2005,"Saturday, January 1, 2005"
194,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Lassa Fever,32041,3517,November,2015,"Sunday, November 1, 2015"
195,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Malaria,56108,5905,January,2005,"Saturday, January 1, 2005"
196,Plateau,JUTH - Jos University Teaching Hospital,Malaria,60103,10137,November,2014,"Saturday, November 1, 2014"
197,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Lassa Fever,3039,1110,March,2018,"Thursday, March 1, 2018"
198,Lagos,LASUTH - Lagos State University Teaching Hospital,Cholera,58726,7292,February,2017,"Wednesday, February 1, 2017"
199,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Lassa Fever,74081,18119,May,2007,"Tuesday, May 1, 2007"
200,Kogi,FMC Lokoja - Federal Medical Centre,Typhoid,30769,7708,June,2019,"Saturday, June 1, 2019"
201,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Measles,46176,14769,May,2024,"Wednesday, May 1, 2024"
202,Lagos,LASUTH - Lagos State University Teaching Hospital,Lassa Fever,43931,17590,September,2013,"Sunday, September 1, 2013"
203,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Malaria,56593,15420,January,2021,"Friday, January 1, 2021"
204,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Measles,15619,2708,November,2005,"Tuesday, November 1, 2005"
205,Kogi,FMC Lokoja - Federal Medical Centre,Lassa Fever,74135,6564,September,2002,"Sunday, September 1, 2002"
206,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Tuberculosis,47341,3641,June,2020,"Monday, June 1, 2020"
207,Enugu,UNTH - University of Nigeria Teaching Hospital,Lassa Fever,4542,594,January,2015,"Thursday, January 1, 2015"
208,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Cholera,79106,33969,November,2010,"Monday, November 1, 2010"
209,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Measles,20127,5803,April,2007,"Sunday, April 1, 2007"
210,Lagos,LUTH - Lagos University Teaching Hospital,Cholera,18981,7442,October,2018,"Monday, October 1, 2018"
211,Ogun,FMC Abeokuta - Federal Medical Centre,Tuberculosis,17159,8213,April,2007,"Sunday, April 1, 2007"
212,Lagos,LUTH - Lagos University Teaching Hospital,Lassa Fever,23644,11164,February,2017,"Wednesday, February 1, 2017"
213,Nasarawa,FMC Keffi - Federal Medical Centre,Measles,22440,714,July,2003,"Tuesday, July 1, 2003"
214,Kogi,FMC Lokoja - Federal Medical Centre,Tuberculosis,21472,1463,June,2014,"Sunday, June 1, 2014"
215,Imo,FMC Owerri - Federal Medical Centre,Lassa Fever,11591,3173,February,2021,"Monday, February 1, 2021"
216,Enugu,UNTH - University of Nigeria Teaching Hospital,Typhoid,41401,8374,July,2002,"Monday, July 1, 2002"
217,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Typhoid,56772,7961,July,2019,"Monday, July 1, 2019"
218,Abia,FMC Umuahia - Federal Medical Centre,Tuberculosis,38678,13890,April,2013,"Monday, April 1, 2013"
219,Oyo,"UCH - University College Hospital, Ibadan",Tuberculosis,59143,3403,June,2014,"Sunday, June 1, 2014"
220,Plateau,BUTH - Bingham University Teaching Hospital,Measles,45569,13404,May,2005,"Sunday, May 1, 2005"
221,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Tuberculosis,52866,11937,January,2022,"Saturday, January 1, 2022"
222,Imo,FMC Owerri - Federal Medical Centre,Tuberculosis,61741,12604,April,2024,"Monday, April 1, 2024"
223,Enugu,UNTH - University of Nigeria Teaching Hospital,Malaria,28705,934,October,2009,"Thursday, October 1, 2009"
224,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Cholera,56625,16621,August,2016,"Monday, August 1, 2016"
225,Delta,DELTA FMC - Federal Medical Centre Asaba,Tuberculosis,43365,5984,July,2018,"Sunday, July 1, 2018"
226,Oyo,"UCH - University College Hospital, Ibadan",Tuberculosis,63488,6031,July,2002,"Monday, July 1, 2002"
227,Ogun,FMC Abeokuta - Federal Medical Centre,Cholera,27761,12219,September,2014,"Monday, September 1, 2014"
228,Lagos,LUTH - Lagos University Teaching Hospital,Typhoid,11286,2552,March,2018,"Thursday, March 1, 2018"
229,Imo,FMC Owerri - Federal Medical Centre,Lassa Fever,18918,9407,April,2012,"Sunday, April 1, 2012"
